Actual_Rainfall,Predicted_Rainfall
2377.9000000000005,2790.375
2511.7,2684.9976
3148.6,2622.4705
2969.3,2707.6375
2337.5,2759.246
2838.7,2672.9375
2748.4,2678.8428
3037.9,2674.2817
2365.4,2739.8235
3185.499999999999,2659.1978
3141.5000000000005,2742.131
2854.5999999999995,2830.5557
3565.4000000000005,2839.1348
3072.200000000001,2977.1296
2358.9,3001.6106
2895.9,2860.3645
2127.1,2827.4753
3557.7,2659.431
2800.200000000001,2802.9048
2551.4000000000005,2815.8628
3655.1999999999994,2746.0908
3323.3,2910.66
2908.1,3009.0732
2612.600000000001,2981.1555
2546.9,2882.4202
2723.0,2784.5347
2714.8,2736.8647
2807.7,2716.435
2262.100000000001,2709.1826
2638.7000000000007,2603.7537
2689.8,2582.3718
2324.7,2577.9236
2612.5,2509.3882
2418.8,2506.8176
2632.3,2478.0615
2406.1,2495.4438
2322.5000000000005,2468.549
2518.5,2422.8713
2624.8,2422.016
2684.8,2457.9846
1487.7,2501.0125
1347.6,2291.6008
1354.3,2053.5576
1383.0999999999997,1850.7733
1667.0,1704.5535
1395.5000000000002,1653.8898
1337.1,1586.7162
1399.8000000000006,1517.437
1697.7,1470.2434
1385.9,1495.5463
1264.9,1472.965
1347.4,1432.3341
1826.8,1407.4807
1383.8000000000006,1484.8708
1310.3,1486.3505
1600.5,1451.1232
1775.6999999999998,1473.681
1395.3,1540.895
1482.3,1530.5552
1363.4999999999998,1516.877
1300.2,1485.9532
1655.7,1444.6134
1285.2000000000005,1476.7604
1266.4999999999998,1444.2467
1273.7,1404.8315
1705.2,1371.3783
1190.6999999999996,1426.6913
1625.0,1393.2766
1557.4,1432.996
1380.999999999999,1467.9884
1475.7,1462.1827
1306.8000000000004,1465.6855
1867.0999999999997,1433.6458
1117.6,1514.161
1015.1,1459.4543
1505.7,1361.7521
1522.5000000000002,1361.1218
1337.8,1397.3986
1698.5,1393.7043
1358.6999999999996,1453.1868
1801.1,1452.2263
1615.6999999999994,1521.1445
1446.3,1559.7225
1406.3999999999994,1543.167
1271.4999999999998,1518.3948
1714.1999999999996,1468.2323
1363.1,1502.2971
1532.0,1484.2969
1493.5,1492.0642
1615.8,1492.3358
1214.0,1519.8763
1395.6999999999994,1464.0288
1505.8,1437.051
1080.0,1445.1166
1268.3000000000004,1377.8741
1714.1999999999998,1341.9038
1130.6,1402.4293
1151.1,1368.6123
1812.6,1317.5876
1245.4999999999998,1401.2784
1290.4999999999998,1392.0693
1173.4,1374.3947
1289.6,1331.203
1278.4,1311.6505
1263.9,1305.2349
1118.7,1297.0612
1348.4,1257.804
1597.8000000000002,1270.2386
1404.1000000000006,1340.219
1648.4,1367.0007
2099.8,1433.7821
1333.2,1584.406
1735.1,1575.5906
1470.6,1606.8392
1466.1999999999994,1589.4462
1240.6,1563.263
1840.6000000000001,1497.4332
1872.7000000000003,1549.1118
1157.8000000000004,1625.3368
1520.8,1554.9718
1909.1,1529.7202
1111.0,1592.6381
1463.6,1518.7325
1831.7,1487.0852
1413.4999999999998,1548.5381
1790.8000000000002,1538.5883
1591.5,1589.7534
1681.5000000000002,1598.8032
1626.2000000000003,1615.5651
1961.2999999999997,1627.6508
1609.2999999999995,1696.1442
1414.6,1691.7642
1759.7000000000005,1642.8057
1530.8,1653.4756
1936.1000000000001,1628.6665
1504.1,1686.8339
1657.9,1662.0999
1632.8,1656.558
1957.0000000000002,1649.5372
1571.9999999999998,1709.0785
1540.7,1692.4812
1613.4,1660.1191
1496.7,1644.968
1569.4,1609.5742
1604.8000000000006,1594.4758
1660.4000000000003,1589.0322
1941.5,1604.3973
1555.4,1674.401
1314.9,1667.922
1064.9,1593.4963
1686.4,1473.3173
1268.0,1484.4326
1764.0000000000002,1444.7168
1261.2999999999995,1498.9221
1530.2,1466.4427
1427.0,1470.8325
1568.7000000000005,1462.6842
1284.1999999999996,1477.9521
1348.9,1445.8444
1568.2,1421.6572
1514.8,1448.7045
1357.3000000000004,1465.6608
1408.2000000000005,1453.0658
1447.2,1438.0424
1430.6,1440.2716
1535.2999999999995,1438.417
1598.5000000000002,1458.6067
1417.3000000000006,1490.974
1397.2000000000005,1488.2537
1544.3000000000006,1471.3611
1598.6,1480.6115
1436.9,1506.9398
1479.4999999999998,1502.3704
1850.0000000000002,1498.0386
1297.4999999999998,1567.2478
1757.9000000000003,1532.8965
1402.5,1568.9178
1324.1,1544.7799
1466.6,1497.7122
1258.6,1481.08
1263.5,1433.281
1807.8999999999999,1387.8761
1535.6999999999994,1460.1676
1525.6,1494.4812
1585.4999999999998,1506.5741
1637.8000000000009,1529.4807
